//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-6-2023
//--  Time: 17:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2200 Ohms
//--    Temperature1: 31(F), 	Resistance 1: 5330 Ohms 
//--    Temperature2: 66(F), 	Resistance 2: 2380 Ohms 
//--    Temperature3: 111(F), 	Resistance 3: 1060 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
760	24.42	244 	3.711
761	24.24	242 	3.716
762	24.05	241 	3.721
763	23.87	239 	3.726
764	23.68	237 	3.730
765	23.49	235 	3.735
766	23.31	233 	3.740
767	23.12	231 	3.745
768	22.93	229 	3.750
769	22.74	227 	3.755
770	22.56	226 	3.760
771	22.37	224 	3.765
772	22.18	222 	3.770
773	21.99	220 	3.774
774	21.80	218 	3.779
775	21.61	216 	3.784
776	21.43	214 	3.789
777	21.24	212 	3.794
778	21.05	210 	3.799
779	20.86	209 	3.804
780	20.67	207 	3.809
781	20.48	205 	3.813
782	20.29	203 	3.818
783	20.10	201 	3.823
784	19.91	199 	3.828
785	19.72	197 	3.833
786	19.53	195 	3.838
787	19.33	193 	3.843
788	19.14	191 	3.848
789	18.95	190 	3.853
790	18.76	188 	3.857
791	18.57	186 	3.862
792	18.37	184 	3.867
793	18.18	182 	3.872
794	17.99	180 	3.877
795	17.79	178 	3.882
796	17.60	176 	3.887
797	17.41	174 	3.892
798	17.21	172 	3.896
799	17.02	170 	3.901
800	16.82	168 	3.906
801	16.63	166 	3.911
802	16.43	164 	3.916
803	16.24	162 	3.921
804	16.04	160 	3.926
805	15.84	158 	3.931
806	15.65	156 	3.936
807	15.45	155 	3.940
808	15.25	153 	3.945
809	15.06	151 	3.950
810	14.86	149 	3.955
811	14.66	147 	3.960
812	14.46	145 	3.965
813	14.26	143 	3.970
814	14.06	141 	3.975
815	13.86	139 	3.979
816	13.66	137 	3.984
817	13.46	135 	3.989
818	13.26	133 	3.994
819	13.06	131 	3.999
820	12.86	129 	4.004
821	12.66	127 	4.009
822	12.46	125 	4.014
823	12.26	123 	4.019
824	12.05	121 	4.023
825	11.85	118 	4.028
826	11.65	116 	4.033
827	11.44	114 	4.038
828	11.24	112 	4.043
829	11.03	110 	4.048
830	10.83	108 	4.053
831	10.62	106 	4.058
832	10.42	104 	4.063
833	10.21	102 	4.067
834	10.00	100 	4.072
835	9.80	98 	4.077
836	9.59	96 	4.082
837	9.38	94 	4.087
838	9.17	92 	4.092
839	8.96	90 	4.097
840	8.75	88 	4.102
841	8.54	85 	4.106
842	8.33	83 	4.111
843	8.12	81 	4.116
844	7.91	79 	4.121
845	7.70	77 	4.126
846	7.49	75 	4.131
847	7.27	73 	4.136
848	7.06	71 	4.141
849	6.85	68 	4.146
850	6.63	66 	4.150
851	6.42	64 	4.155
852	6.20	62 	4.160
853	5.99	60 	4.165
854	5.77	58 	4.170
855	5.55	56 	4.175
856	5.34	53 	4.180
857	5.12	51 	4.185
858	4.90	49 	4.189
859	4.68	47 	4.194
860	4.46	45 	4.199
861	4.24	42 	4.204
862	4.02	40 	4.209
863	3.80	38 	4.214
864	3.57	36 	4.219
865	3.35	34 	4.224
866	3.13	31 	4.229
867	2.90	29 	4.233
868	2.68	27 	4.238
869	2.45	25 	4.243
870	2.23	22 	4.248
